nct	canonical_payload	registered_enrollment	enrollment_type	n_registered_arms	n_distinct_response_cohorts	n_response_observations	max_single_cohort_denominator	max_single_cohort_pointer	largest_within_measure_om_index	groups_in_that_measure	within_measure_denominator_sum	pooled_label_in_that_measure	conflict_findings	summation_policy	disjointness_status
NCT03213678	ctg_results_bor_2014_2017.txt	18	ACTUAL	1	1	1	17	ctg_results_bor_2014_2017.txt::NCT03213678::outcomeMeasures[0]::groups[OG000]	0	1	17	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02714218	ctg_results_bor_2014_2017.txt	387	ACTUAL	3	2	2	180	ctg_results_bor_2014_2017.txt::NCT02714218::outcomeMeasures[2]::groups[OG000]	2	2	358	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02574455	ctg_results_bor_2014_2017.txt	529	ACTUAL	2	2	8	235	ctg_results_bor_2014_2017.txt::NCT02574455::outcomeMeasures[4]::groups[OG000]	4	2	468	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02296125	ctg_results_bor_2014_2017.txt	674	ACTUAL	2	4	8	279	ctg_results_bor_2014_2017.txt::NCT02296125::outcomeMeasures[2]::groups[OG000]	2	4	692	False	WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02327078	ctg_results_bor_2014_2017.txt	307	ACTUAL	9	16	16	58	ctg_results_bor_2014_2017.txt::NCT02327078::outcomeMeasures[3]::groups[OG005]	3	9	259	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03053440	ctg_results_bor_2014_2017.txt	201	ACTUAL	2	2	2	102	ctg_results_bor_2014_2017.txt::NCT03053440::outcomeMeasures[1]::groups[OG001]	1	2	201	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02905266	ctg_results_bor_2014_2017.txt	106	ACTUAL	2	2	2	53	ctg_results_bor_2014_2017.txt::NCT02905266::outcomeMeasures[8]::groups[OG000]	8	2	106	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03176277	ctg_results_bor_2014_2017.txt	42	ACTUAL	4	5	5	22	ctg_results_bor_2014_2017.txt::NCT03176277::outcomeMeasures[26]::groups[OG000]	14	4	40	True	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03311334	ctg_results_bor_2014_2017.txt	47	ACTUAL	2	3	8	0			0	0	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02364609	ctg_results_bor_2014_2017.txt	11	ACTUAL	2	2	2	6	ctg_results_bor_2014_2017.txt::NCT02364609::outcomeMeasures[1]::groups[OG000]	1	2	10	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02319044	ctg_results_bor_2014_2017.txt	267	ACTUAL	3	4	18	257	ctg_results_bor_2014_2017.txt::NCT02319044::outcomeMeasures[2]::groups[OG003]	2	4	514	True	WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT__POOLED_LABEL_IN_MEASURE	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02315066	ctg_results_bor_2014_2017.txt	174	ACTUAL	2	14	14	30	ctg_results_bor_2014_2017.txt::NCT02315066::outcomeMeasures[24]::groups[OG005]	6	8	87	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03343054	ctg_results_bor_2014_2017.txt	28	ACTUAL	1	3	4	19	ctg_results_bor_2014_2017.txt::NCT03343054::outcomeMeasures[1]::groups[OG000]	1	1	19	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03132922	ctg_results_bor_2014_2017.txt	71	ACTUAL	2	4	8	32	ctg_results_bor_2014_2017.txt::NCT03132922::outcomeMeasures[3]::groups[OG002]	3	4	42	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03213704	ctg_results_bor_2014_2017.txt	9	ACTUAL	1	1	1	9	ctg_results_bor_2014_2017.txt::NCT03213704::outcomeMeasures[0]::groups[OG000]	0	1	9	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02287233	ctg_results_bor_2014_2017.txt	94	ACTUAL	3	1	1	82	ctg_results_bor_2014_2017.txt::NCT02287233::outcomeMeasures[7]::groups[OG000]	7	1	82	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03116152	ctg_results_bor_2014_2017.txt	190	ACTUAL	2	2	2	95	ctg_results_bor_2014_2017.txt::NCT03116152::outcomeMeasures[2]::groups[OG000]	2	2	190	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
