Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Extract Name	Material Type	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM98503 2	STT3782-Myxoid chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42108.gif	STT3782-Myxoid chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98503 extract 2	total RNA	GSM98503 LE 2	Cy5	GSM98503	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98503_sample_table.txt norm	GSM98503_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98502 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24017.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98502 extract 1	total RNA	GSM98502 LE 1	Cy3	GSM98502	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98502_sample_table.txt norm	GSM98502_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98502 2	STT695B mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24017.gif	STT695B mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98502 extract 2	total RNA	GSM98502 LE 2	Cy5	GSM98502	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98502_sample_table.txt norm	GSM98502_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98501 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24014.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98501 extract 1	total RNA	GSM98501 LE 1	Cy3	GSM98501	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98501_sample_table.txt norm	GSM98501_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98501 2	STT680B mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24014.gif	STT680B mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98501 extract 2	total RNA	GSM98501 LE 2	Cy5	GSM98501	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98501_sample_table.txt norm	GSM98501_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98500 1	CRG mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16480.gif	CRG mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98500 extract 1	total RNA	GSM98500 LE 1	Cy3	GSM98500	A-GEOD-2937	P-GSE4303-1	P-GSE4303-2	GSM98500_sample_table.txt norm	GSM98500_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98500 2	STT1324-I mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16480.gif	STT1324-I mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98500 extract 2	total RNA	GSM98500 LE 2	Cy5	GSM98500	A-GEOD-2937	P-GSE4303-1	P-GSE4303-2	GSM98500_sample_table.txt norm	GSM98500_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98499 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41604.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98499 extract 1	total RNA	GSM98499 LE 1	Cy3	GSM98499	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98499_sample_table.txt norm	GSM98499_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98499 2	STT3697-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41604.gif	STT3697-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98499 extract 2	total RNA	GSM98499 LE 2	Cy5	GSM98499	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98499_sample_table.txt norm	GSM98499_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98498 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24228.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98498 extract 1	total RNA	GSM98498 LE 1	Cy3	GSM98498	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98498_sample_table.txt norm	GSM98498_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
