Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[sample type]	Characteristics[tissue]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLE TYPE]	FactorValue [TISSUE]
GSM600949 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600949 extract 1	total RNA	P-GSE24369-3	  	GSM600949 LE 1	biotin	P-GSE24369-4	  	GSM600949	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600949_LGFMS_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600949_sample_table.txt norm	GSM600949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600948 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600948 extract 1	total RNA	P-GSE24369-3	  	GSM600948 LE 1	biotin	P-GSE24369-4	  	GSM600948	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600948_LGFMS_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600948_sample_table.txt norm	GSM600948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600947 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600947 extract 1	total RNA	P-GSE24369-3	  	GSM600947 LE 1	biotin	P-GSE24369-4	  	GSM600947	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600947_LGFMS_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600947_sample_table.txt norm	GSM600947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600946 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600946 extract 1	total RNA	P-GSE24369-3	  	GSM600946 LE 1	biotin	P-GSE24369-4	  	GSM600946	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600946_LGFMS_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600946_sample_table.txt norm	GSM600946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600945 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600945 extract 1	total RNA	P-GSE24369-3	  	GSM600945 LE 1	biotin	P-GSE24369-4	  	GSM600945	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600945_LGFMS_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600945_sample_table.txt norm	GSM600945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600944 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600944 extract 1	total RNA	P-GSE24369-3	  	GSM600944 LE 1	biotin	P-GSE24369-4	  	GSM600944	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600944_LGFMS_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600944_sample_table.txt norm	GSM600944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600943 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600943 extract 1	total RNA	P-GSE24369-3	  	GSM600943 LE 1	biotin	P-GSE24369-4	  	GSM600943	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600943_LGFMS_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600943_sample_table.txt norm	GSM600943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600942 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600942 extract 1	total RNA	P-GSE24369-3	  	GSM600942 LE 1	biotin	P-GSE24369-4	  	GSM600942	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600942_LGFMS_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600942_sample_table.txt norm	GSM600942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600941 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600941 extract 1	total RNA	P-GSE24369-3	  	GSM600941 LE 1	biotin	P-GSE24369-4	  	GSM600941	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600941_LGFMS_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600941_sample_table.txt norm	GSM600941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600940 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600940 extract 1	total RNA	P-GSE24369-3	  	GSM600940 LE 1	biotin	P-GSE24369-4	  	GSM600940	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600940_LGFMS_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600940_sample_table.txt norm	GSM600940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
