nct	outcome_index	title_or_group	reason
NCT00744900			no results section
NCT02146092			no results section
NCT01402271			no results section
NCT01746771			no results section
NCT00608634			no response-titled outcome
NCT01854034			no results section
NCT00856830			no results section
NCT01132807			no results section
NCT00510692			no response-titled outcome
NCT01181271			no results section
NCT02584309			no results section
NCT00064298			no response-titled outcome
NCT01929421			no results section
NCT01161316			no results section
NCT03935204			no results section
NCT00850304			no results section
NCT01707004			no results section
NCT00141765			no results section
NCT01164007			no response-titled outcome
NCT01896271			no results section
NCT03043664			no results section
NCT02281409			no results section
NCT00005599			no results section
NCT01656304			no results section
NCT00004006			no results section
NCT00274404			no results section
NCT00470184			no results section
NCT00227630			no results section
NCT04364230			no results section
NCT00578071			no results section
NCT01077999			no results section
NCT02440230			no results section
NCT00006007			no results section
NCT01358071			no results section
NCT06470464			no results section
NCT01040000			no results section
NCT01227707			no results section
NCT01703364			no results section
NCT00588809			no results section
NCT00544414			no results section
NCT01129206			no results section
NCT06492304			no results section
NCT00217607			no results section
NCT00409292			no results section
NCT00003334			no results section
NCT00832234			no results section
NCT01429064			no results section
NCT00289809			no results section
NCT01575730			no results section
NCT00050830			no results section
NCT01396707			no results section
NCT00542971			no results section
NCT00566098			no results section
NCT00034593			no results section
NCT00003087			no results section
NCT04417530			no results section
NCT04676607			no results section
NCT03476798			no results section
NCT05807893			no results section
NCT00953121			no results section
NCT00732316			no results section
NCT00112567			no results section
NCT01776307			no results section
NCT00398398			no results section
NCT00186628			no results section
NCT03197467			no results section
NCT00806767			no results section
NCT00081107			no results section
NCT01935934			no results section
NCT01202409			no results section
NCT00030563			no results section
NCT05702957			no results section
NCT01571401			no results section
NCT01698801			no results section
NCT00402116			no results section
NCT00853021			no results section
NCT04184921			no results section
NCT04535414			no results section
NCT02913612			no results section
NCT01408524			no results section
NCT01081301			no results section
NCT00023712			no results section
NCT04046614			no results section
NCT00003154			no results section
NCT02328105			no response-titled outcome
NCT00337129			no results section
NCT00335829			no results section
NCT01481545			no results section
NCT02478957			no results section
NCT01107457			no response-titled outcome
NCT00639327			no results section
NCT00350142			no results section
NCT03803241			no results section
NCT03019939			no results section
NCT02971956			no results section
NCT02358356			no results section
NCT01455051			no results section
NCT00399529			no results section
NCT00098553			no results section
NCT05517239			no results section
NCT00004157			no results section
NCT00193401			no results section
NCT04597801			no results section
NCT00160069			no results section
NCT01685983			no response-titled outcome
