nct	group_norm	resolved_at_step	candidates_still_competing
NCT00883779	placebo	f (smallest outcome index)	2
NCT00883779	erlotinib	f (smallest outcome index)	2
NCT01911273	pf-03446962 plus bsc	f (smallest outcome index)	2
NCT01911273	bsc alone	f (smallest outcome index)	2
NCT01234337	sorafenib (nexavar, bay43-9006) + capecitabine	f (smallest outcome index)	2
NCT01234337	placebo + capecitabine	f (smallest outcome index)	2
NCT01379521	everolimus + tace	f (smallest outcome index)	2
NCT01379521	placebo + tace	f (smallest outcome index)	2
NCT01852292	buparlisib + paclitaxel	f (smallest outcome index)	2
NCT01852292	buparlisib matching placebo + paclitaxel	f (smallest outcome index)	2
NCT01732913	idelalisib + rituximab	f (smallest outcome index)	3
NCT01732913	placebo + rituximab	f (smallest outcome index)	3
NCT01958021	ribociclib + letrozole	f (smallest outcome index)	2
NCT01958021	placebo + letrozole	f (smallest outcome index)	2
NCT01797120	fulvestrant & everolimus	f (smallest outcome index)	2
NCT01797120	fulvestrant & placebo	f (smallest outcome index)	2
NCT01816594	trastuzumab + bkm120 + paclitaxel	e (largest Participants denominator)	4
NCT01816594	trastuzumab + bkm120 + paclitaxel	f (smallest outcome index)	2
NCT01816594	trastuzumab + bkm120 pbo + paclitaxel	e (largest Participants denominator)	4
NCT01816594	trastuzumab + bkm120 pbo + paclitaxel	f (smallest outcome index)	2
NCT01625286	part a schedule 1 560 mg bd	e (largest Participants denominator)	3
NCT01625286	part a schedule 1 560 mg bd	f (smallest outcome index)	2
NCT01625286	part a schedule 1 640 mg bd	e (largest Participants denominator)	3
NCT01625286	part a schedule 1 640 mg bd	f (smallest outcome index)	2
NCT01625286	part a schedule 2 360 mg bd	e (largest Participants denominator)	3
NCT01625286	part a schedule 2 360 mg bd	f (smallest outcome index)	2
NCT01625286	part a schedule 2 400 mg bd	e (largest Participants denominator)	3
NCT01625286	part a schedule 2 400 mg bd	f (smallest outcome index)	2
NCT01625286	part a schedule 2 480 mg bd	e (largest Participants denominator)	3
NCT01625286	part a schedule 2 480 mg bd	f (smallest outcome index)	2
NCT01625286	part b azd5363	f (smallest outcome index)	3
NCT01625286	part b placebo	f (smallest outcome index)	3
NCT01610284	bkm120 100mg + fulvestrant	f (smallest outcome index)	2
NCT01610284	placebo + fulvestrant	f (smallest outcome index)	2
NCT01271712	regorafenib (stivarga, bay73-4506)	f (smallest outcome index)	2
NCT01271712	placebo	f (smallest outcome index)	2
NCT01774344	placebo	f (smallest outcome index)	2
NCT01774344	regorafenib 160 mg (bay73-4506)	f (smallest outcome index)	2
NCT01602224	100 mg tabalumab+dexamethasone+bortezomib	f (smallest outcome index)	2
NCT01602224	300 mg tabalumab+dexamethasone+bortezomib	f (smallest outcome index)	2
NCT01602224	placebo comparator: placebo + dexamethasone + bortezomib	f (smallest outcome index)	2
NCT01524783	everolimus + bsc	f (smallest outcome index)	2
NCT01524783	placebo + bsc	f (smallest outcome index)	2
NCT01211483	phase 2: u3-1287 18 mg/kg + erlotinib	e (largest Participants denominator)	2
NCT01211483	phase 2: u3-1287 9 mg/kg + erlotinib	e (largest Participants denominator)	2
NCT01211483	phase 2: placebo + erlotinib	e (largest Participants denominator)	2
NCT01633060	bkm120 100mg + fulvestrant	f (smallest outcome index)	2
NCT01633060	placebo + fulvestrant	f (smallest outcome index)	2
NCT01951586	placebo	f (smallest outcome index)	2
NCT01951586	denosumab	f (smallest outcome index)	2
NCT01168973	ramucirumab and docetaxel	f (smallest outcome index)	2
NCT01168973	placebo and docetaxel	f (smallest outcome index)	2
NCT01776840	placebo + bendamustine and rituximab (br) (treatment a)	f (smallest outcome index)	2
NCT01776840	ibrutinib + bendamustine and rituximab (br) (treatment b)	f (smallest outcome index)	2
NCT01512745	apatinib	f (smallest outcome index)	2
NCT01512745	placebo	f (smallest outcome index)	2
NCT01850524	placebo + lendex	e (largest Participants denominator)	2
NCT01850524	ixazomib + lendex	e (largest Participants denominator)	2
NCT01703091	ramucirumab + docetaxel	f (smallest outcome index)	2
NCT01703091	placebo + docetaxel	f (smallest outcome index)	2
NCT01774786	pertuzumab + trastuzumab + chemotherapy	e (largest Participants denominator)	3
NCT01774786	pertuzumab + trastuzumab + chemotherapy	f (smallest outcome index)	2
NCT01774786	placebo + trastuzumab + chemotherapy	e (largest Participants denominator)	3
NCT01774786	placebo + trastuzumab + chemotherapy	f (smallest outcome index)	2
NCT01544179	gefitinib	f (smallest outcome index)	2
NCT01544179	placebo	f (smallest outcome index)	2
NCT01924533	olaparib 100 mg tablets bd + paclitaxel 80 mg/m^2	e (largest Participants denominator)	2
NCT01924533	placebo tablets bd + paclitaxel 80 mg/m^2	e (largest Participants denominator)	2
NCT02278120	ribociclib + nsai/tamoxifen + goserelin	f (smallest outcome index)	2
NCT02278120	placebo + nsai/tamoxifen+ goserelin	f (smallest outcome index)	2
NCT03117049	ono-4538 group	f (smallest outcome index)	3
NCT03117049	placebo group	f (smallest outcome index)	3
NCT02329860	apatinib	f (smallest outcome index)	2
NCT02329860	placebo	f (smallest outcome index)	2
NCT02300987	lee011	f (smallest outcome index)	3
NCT02300987	placebo arm	f (smallest outcome index)	3
NCT02178956	napabucasin + paclitaxel	f (smallest outcome index)	2
NCT02178956	placebo + paclitaxel	f (smallest outcome index)	2
NCT02451943	doxorubicin + olaratumab	f (smallest outcome index)	2
NCT02451943	doxorubicin + placebo	f (smallest outcome index)	2
NCT02340221	placebo+fulvestrant	f (smallest outcome index)	2
NCT02340221	taselisib+fulvestrant	f (smallest outcome index)	2
NCT03189719	pembrolizumab + soc	e (largest Participants denominator)	4
NCT03189719	placebo + soc	e (largest Participants denominator)	4
NCT02626455	phase 3: copa+r-b/r-chop	f (smallest outcome index)	2
NCT02626455	phase 3: pbo+r-b/r-chop	f (smallest outcome index)	2
NCT02246621	abemaciclib + nsai	f (smallest outcome index)	3
NCT02246621	placebo + nsai	f (smallest outcome index)	3
NCT02426125	ramucirumab + docetaxel	f (smallest outcome index)	2
NCT02426125	placebo + docetaxel	f (smallest outcome index)	2
NCT02437318	pik3ca mutant cohort by tumor tissue: alpelisib + fulvestrant	f (smallest outcome index)	2
NCT02437318	pik3ca mutant cohort by tumor tissue: placebo + fulvestrant	f (smallest outcome index)	2
NCT02437318	pik3ca non-mutant cohort by tumor tissue: alpelisib + fulvestrant	f (smallest outcome index)	2
